dosef,energy,natom,mass,fmax,smax,hform,volume,gap_nosoc,gap
0.0,-14.45177796,4,250.8368063,0.002091076,0.002234781,-0.909444491,177.440512,0.904198441,0.864910355
0.0,-10.93397984,4,286.6364,0.008753047,0.000160812,-0.42099496,317.5212894,1.675930495,1.568510788
0.0,-10.20195824,4,375.5444,0.008587084,0.000172419,-0.337989559,321.4557552,1.827971926,1.723571793
0.0,-9.672236109,4,469.54534,0.005750252,8.16e-05,-0.259059027,342.2074817,2.069481766,1.768575814
0.0,-12.14027571,4,288.948,0.003160987,0.000172658,-0.532568927,304.3531808,1.794689781,1.785808012
0.0,-10.90387838,4,382.77,0.007446994,0.000101174,-0.520969595,323.9571484,1.523170669,1.402384751
0.0,-10.09439302,4,483.44494,0.004849179,7.37e-06,-0.403098256,327.8012926,1.057176174,0.98856684
0.0,-17.63131186,4,461.068,0.008094819,8.67e-05,-0.338327965,215.4111249,1.603961777,1.31203896
0.0,-9.018301407,4,647.742078,0.001666828,0.000226478,0.049424648,322.4730802,1.110934154,0.827103463
0.0,-5.898826213,4,654.99294,0.008462068,0.000120785,-0.293206553,326.8450337,1.426285798,1.276615213
0.0,-10.35833144,4,662.56894,0.007065135,3.52e-05,-0.601582859,586.4873511,3.297620563,2.41642551
0.0,-34.01289644,4,141.874088,0.002938792,0.00015336,-1.082724111,241.6174041,1.059995155,1.059426584
0.0,-28.41836382,4,267.818088,0.007597994,4.77e-05,-0.504590955,292.6298482,0.929557196,0.897948945
0.0,-12.40823442,4,197.992,0.005545914,0.000625937,-0.371558605,261.4060955,1.498942812,1.446579653
0.0,-11.61918118,4,286.9,0.00075968,0.000595913,-0.274295295,277.8952312,1.551837819,1.496128575
0.0,-10.94035257,4,380.90094,0.008456202,0.000415602,-0.158088143,318.8861503,2.077054458,1.866194528
0.0,-11.79240679,4,210.346,0.005141595,8.99e-05,-0.604101697,586.0090777,2.402017041,2.396171521
0.0,-9.776592022,4,393.25494,0.009373149,0.000115475,-0.253648006,672.1680867,1.841323415,1.785683161
0.0,-10.81310507,4,286.6364,0.007207914,0.000125895,-0.390776266,370.6716971,2.063056851,2.000395363
0.0,-10.17179374,4,375.5444,0.001279795,4.54e-05,-0.330448435,364.7693481,1.927208689,1.834454558
0.0,-9.647725192,4,469.54534,0.00255066,6.98e-05,-0.252931298,389.8653802,2.153192614,1.875283627
0.0,-11.93265695,4,300.536,0.008428564,4.1e-05,-0.709164238,673.6958123,2.355230623,2.298897931
0.0,-9.934425459,4,483.44494,0.005904687,3.7e-05,-0.363106365,785.5923433,1.868043885,1.78681421
0.0,-11.22283255,4,568.568,0.005764857,3.03e-05,-0.764208136,713.8849662,2.758627338,2.42599229
0.0,-10.20124207,4,662.56894,0.005154998,2.23e-05,-0.562310517,769.8685842,2.418858462,2.093276718
